model,val_mae,test_mae
LSTM_Mode64_3_Convo_2,0.0686248168349266,0.07396038621664047
LSTM_Mode64_2_Convo_1,0.06773285567760468,0.0739714726805687
LSTM_Mode64_2_Convo_2,0.0690416693687439,0.07446357607841492
LSTM_Mode64_4_Convo_4,0.0685722753405571,0.0749395564198494
LSTM_Mode64_3_Convo_3,0.07330742478370667,0.07838038355112076
LSTM_Mode64_1_Convo_1,0.07312608510255814,0.07857278734445572
LSTM_Mode64_4_Convo_3,0.06929873675107956,0.07918887585401535
Baseline,0.06462836265563965,0.08144263178110123
