model,val_mae,test_mae
LSTM_Model_conv_2_lstm_3,0.16007031500339508,0.168280228972435
LSTM_Model_conv_2_lstm_2,0.15744522213935852,0.17327751219272614
LSTM_Model_conv_3_lstm_3,0.15027885138988495,0.17390187084674835
Best,0.15898488461971283,0.1778380274772644
Baseline,0.5549620985984802,0.5567044615745544
